plate,legal,personalize,meaning
WMK 88,0,1,88 HITLER REFERENCE
Z65OPWR,0,1,650 AREA CODE
415 JEEP,0,1,415 AREA CODE
8 VINI 8,0,1,88 HITLER REFERENCE
814LG16,0,1,814 AREA CODE
86 GUERA,0,1,SLANG FOR WHITE GIRL
88BM888,0,1,88 HITLER REFERENCE
88MIR88,0,1,88 HITLER REFERENCE
888GG88,0,1,88 HITLER REFERENCE
95 GANGA,0,1,GANGA LOOKS LIKE GANJA
BIG HEAD,1,1,COULD MEAN BIG HEAD OR BE A SEXUAL REFERENCE
BIG HOOD,1,1,BIG HOOD COULD MEAN THEY COME FROM A BIG NEIGHBORHOOD OR THE HOOD OF THE CAR OR COULD ME REFEREING TO THE MALE ANATOMY
BRGR 13,0,1,13 GANG REFERENCE
CGARJOE,1,1,CIGAR JOE
CHILA 18,0,1,18 HITLER REFERENCE
CHUUBBS,0,1,CHUBBY MEANS FAT OR REFERS TO AN ERECT PENIS
CVRTOON,1,1,CARTOON V IS SUBSTITUTE FOE THE A
DKS 68,0,1,DICKS
DUKS DIE,0,1,"DUCKS DIE, COULD REFER TO UGLY PEOPLE OR THE OREGON DUCKS"
DVRTH,1,1,THE V IS A SUBSTITUTION FOR THE A
ECOPOOP,0,1,POOP
EM AK47,0,1,AK 47 GUN
FX FX,0,1,COULD BE A RTRIM LEVEL OR COULD MEAN FUCK
GT4NA88,0,1,88 HITLER REFERENCE
HANGR18,0,1,18 HITLER REFERENCE
HH CITY,0,1,HAIL HITLER HH
HOTSPOT,1,1,HOT SPOT COULD BE A SEXUAL REFERENCE
HO YEET,0,1,HOE AS IN WHORE
HYE BAXT,0,1,HIGH
H7777H,0,1,HH HAIL HITLER
I S Y N,0,1,I SHIT YOU NOT
KEEPM UP,0,1,KEEP UM UP COULD BE A SEXUAL REFERENCE
KILLSV8,0,1,KILLS
LVHRPSY,0,1,LOVE OUR PUSSY OR LOVE HER PUSSY
MEELBOM,0,1,LOOKS  A LITTLE LIKE MAIL BOMB
MES1313,0,1,1313 GANG REFERENCE
MILAD G,0,1,G AS IN GANGSTER
NO WOOD,1,1,WOOD COULD BE A SEXUAL REFERENCE
N6KLS 88,0,1,88 HITLER REFERENCE
OG BRNCO,0,1,OG ORIGINAL GANSTER
OGJNGLS,0,1,ORIGINAL GANGSTER
OGMSTNG,0,1,ORIGINAL GANGSTER
O11235B,0,1,LOOKS LIKE AN OLD TIN NUMBER
PJ 13,0,1,13 GANG REFERENCE
PLAYLPS,0,1,PLAY LIPS
PSI DIET,0,1,"LOOKS LIKE PUSSY DIET, PSI ALSO MEANS PER SQUARE INCH"
P4I7413,0,1,LOOKS LIKE AN OLD TIN NUMBER
P 6 9 L,0,1,69 SEXUL REFERENCE
RC F YAH,0,1,FUCK YOU
SWT INDO,0,1,AS IN INDICA AS IN WEED
SXY SLYR,0,1,SLAYER
S1O4711,0,1,LOOKS LIKE AN OLD TIN NUMBER
TBSS 9O9,0,1,909 AREA CODE
TPOTKID,0,1,POT MARY JANE MARIJUANA
TRPL666,1,1,666 MARK OF THE BEAST
VERY BIG,0,1,VERY BIG COULD BE REFERING TO THE CAR OR A SEXUAL REFERENCE
XZXZXZ7,0,1,XXX SEXUAL REFERENCE
Z81TJ18,0,1,18 HITLER REFERENCE
1SMKNSS,1,1,1 SMOKING SS
1VETTE4,1,1,14 GANG REFERENCE
51ON,0,1,510 AREA CODE
6FIDDY,1,1,650 AREA CODE
8URPRUS,0,1,ATE YOUR PRIUS
CHIEF 88,0,1,88 HITLER REFERENCE
PNK4ME,0,1,PINK 4 ME
SMYLCT,0,1,SMELLY CAT
LILGB$G,0,1,G AS IN GANGSTER
L$VEMYV,0,1,"LOVE MY V, V AS IN ???VAGINA"
PPM$RE,0,1,LOOKS LIKE PEE PEE MORE
AB 43,1,1,MILITARY TANK
CUBS14,0,1,14 GANG REFERENCE
BDNBLUE,0,1,BLUE
BUZZZED,0,1,AS IN HIGH IOR DRUNK
GOOD BRD,1,1,LOOKS LIKE GOOD BROAD
HOOGTYD,0,1,HOG TIED
HUNTN WJ,0,1,HUNTING
IONFKWU,0,1,I DON’T FUCK WITH YOU
REDD424,0,1,424 AREA CODE RED
RED ZILA,1,1,RED
SMKNBEE,0,1,SOUNDS LIKE SMOKING BITCH
TEAM 559,0,1,559 AREA CODE
UBERCHP,0,1,CHP CALIFORNIA HIGHWAY PATROL
VIXXXIE,0,1,XXX AND VIXEN SEXUAL REFERENCE
1 LOKOPZ,1,1,CRAZY LOPEZ
8OMMM18,0,1,18 HITLER REFERENCE
99 PINKY,0,1,PINKY
ADV NUT,0,1,NUT
HLATITE,1,1,HELLA TIGHT
ACID HIT,0,1,A HIT OF ACID
BIGNWHT,0,1,BIG AND WHITE
BJ 19OSL,0,1,BLOW JOB
BURNING,0,1,BURNING CAN MEAN A LOT OF THINGS
GO GAG,0,1,GAG
LUVTUNA,0,1,LOVE TUNA
NVRGIVN,1,1,NEVER GIVEN COMMON TERM NO FUCKS GIVEN
NYLRJ 18,0,1,18 HITLER REFERENCE
TRIKCHP,0,1,"TRICK CHP, CALIFORNIA HIGHWAY PATROL"
1234EFR,0,1,EFR LOOKS LIKE FUCKER
7O7 CATT,1,1,707 AREA CODE CAT
911 FITY,0,1,911 EMERGENCY
9999G,0,1,G AS IN GANGSTER
HIGH OCT,1,1,HIGH
18 MAS,0,1,18 HITLER REFERENCE
OHFSCR,1,1,OFFICER
MPH 88,0,1,HITLER REFERENCE
AHOYFKR,0,1,AHOY FUCKER
AHTACO S,0,1,TACO
C516GNR,0,1,GNR-GUNNER
DETON8R,0,1,DETONATOR
DEWSHBG,0,1,DOUCHE BAG
DONYEYO,0,1,YEYO- COCAINE
ELLAY13,0,1,13-GANG
FIELMOB,0,1,MOB. LAST NAME FIELDER
FUCK NO,0,1,FUCK NO
GAGRL13,0,1,13-GANG
GFAM619,0,1,CA AREA CODE
GLK,0,1,GLOCK
G RUSTY,0,1,G
GT WHORE,0,1,WHORE
HELL RAM,1,1,HELL
HMS 88,0,1,88-HITLER
JPM 13,0,1,13-GANG
KILLLAH,0,1,KILLER
KOP KAR,0,1,COP
LUV H8RS,0,1,HATERS
MOTA 74,0,1,CUSTOMERS LAST NAME
MURDRDD,0,1,MURDERED
NANA31O,0,1,CA AREA CODE
OSO 88,0,1,88-HITLER
O14OMJA,0,1,14-HITLER
O51O AE,0,1,CA AREA CODE
QQ88GY,0,1,88-HITLER
SENDPIE,0,1,SEND PIE… SEND VAGINA
WOLFY 14,0,1,14-HITLER
YCCC714,0,1,CA AREA CODE
YUMTACO,0,1,TACO
YV1AW88,0,1,88-HITLER
1BDTACO,0,1,TACO
1KWLMFR,0,1,ONE COOL MOTHERFUCKER
1OGSEX3,0,1,OG SEX
13BLKRT,1,1,13-GANG
42OLYFE,0,1,WEED
69 ARMY,0,1,69
7RK88,0,1,88-HITLER
BB18&GY,0,1,18-HITLER
HORSE13,0,1,13-GANG
GLOKIT,0,1,GLOCK IT… ON A VET PLATE
GMANN14,0,1,14-HITLER
LKR BOX,0,1,LICK HER BOX?
PHUQUE9,0,1,FUCK 9
415N8IV,0,1,CA AREA CODE
IROCZ 88,0,1,88-HITLER
SAPD K9,0,1,SANTA ANA PD (CUSTOMER LIVES IN SANTA ANA)
5O8BURD,0,1,CA AREA CODE
OG 71,0,1,OG
I$FIFI,0,1,MASTURBATION TECHNIQUE IN PRISON
AGWO831,0,1,CA AREA CODE
BIG WJ69,0,1,BIG (CUSTOMERS INITIALS) 69. COULDN'T VERIFY 69 VEHICLE
DUBZ51O,0,1,CA AREA CODE
EDLM916,0,1,CA AREA CODE
EFIG65O,0,1,CA AREA CODE
FMLY 415,0,1,CA AREA CODE
GRESS69,0,1,CUSTOMERS LAST NAME 69
GRUT 213,0,1,CA AREA CODE
HEIDI 88,0,1,88-HITLER
HEL2PAY,0,1,HELL
JDM ASF,0,1,AS FUCK
LITTTTT,0,1,LIT
MYLES13,0,1,13-GANG
SMURF OG,0,1,OG
1NSTY V,0,1,ONE NASTY V
11FTW24,0,1,FTW
1 666KLR,0,1,KILLER
42OFSST,0,1,420
88SUKI,0,1,88-HITLER
FUXWDIT,0,1,FUCKS WITH IT
IRWIN14,0,1,14-HITLER
562RDRS,0,1,CA AREA CODE
ASDF42O,0,1,"420, DRUG CONNOTATIONS"
BA TOP,0,1,"TOP=SEXUAL CONNOTATIONS, S&M"
BIGCAT1,0,1,"CAT=PUSSY, NO CAT CAR ON ANI"
BIG CHON,0,1,urban dictionary says 'chon' is  an offensive name for a person of Korean background
BIH PLZ,0,1,BITCH PLEASE
B ONE B,0,1,baza is customer last name. B can mean bitch
BUDSTER,0,1,bud=weed
DOPE SNW,0,1,"DOPE SNOW, DOPE CAN HAVE A DRUG CONNOTATION OR MEAN REALLY COOL"
EMP PTG,0,1,EMP can mean 'eat my pussy'
FHECTOR,0,1,FUCK HECTOR (from the movie 'Friday')
FKN TACO,0,1,fucking taco
FTVCO13,0,1,"13=GANG NUMBER, NO 2013 CAR"
GOVNR47,1,1,"HE HAS A 1947 CADILLAC, OK? JUST THINKING SOMEONE MAY THINK IT’S THE GOVERNOR'S CAR..?"
HARDOOO,0,1,sexual connotations
HELA BAD,1,1,hell
HIGHLIF,0,1,"high, drug connotation"
HS14HRS,1,1,pulled for 14=hate symbol but DOES have a 2014 car
H8MENOW,0,1,HATE
ICU MAD,0,1,I see you mad. Pulled because of the 'you'
JFE MT,0,1,"JEFE CAN HAVE A GANG CONNOTATION, GANG CHIEF"
KNDY KAT,0,1,"CAT=PUSSY, NO CAT CAR ON ANI"
LONER 14,0,1,"14=hate symbol, no 2014 car on ani"
LVDABCH,0,1,BEACH OR BITCH
MUPLAND,0,1,"mup=urban dictionary says ""man up pussy"" may be talking about his town, he's from Hopland, so Mupland…"
MURDAHO,0,1,"has a Chevy UT, probably a Tahoe seems like murder and Tahoe put together. Looks like murder ho"
NEECH,0,1,means 'despicable' in Hindi
NICEAST,0,1,nice assed
NUKO,1,1,NUKE
PICO 8O5,0,1,AREA CODE FOR SANTA BARBARA
POOP KNG,0,1,EXCREMENT
RC  13,0,1,"13=GANG NUMBER , NO 2013 CAR"
RNGL 818,0,1,area code for Pacoima where customer lives
R3DRM 4S,0,1,"REDRUM FORCE? (NOT OUT WITH A 3, REDRUM IS MURDER BACKWARDS) AND DOES HAVE A PORSCHE, THEY MAKE A MODEL 4S"
SCHEIZE,0,1,GERMAN WORD TRANSLATES TO 'SHIT' OR 'FUCK' DEPENDING ON WHICH TRANSLATOR I USE
SCHMNGY,1,1,"SOUNDS BAD… I CANT FIND A DEFINITION, OK?"
SEMI LIT,0,1,lit=slang for high or drunk
SHAAGGN,0,1,SHAGGING=FUCKING
SLOWAZF,0,1,slow as fuck
S55O JH,0,1,"THIS LOOKS A LOT LIKE A VESSEL ""5550 JH"" THAT HAS A CURRENT RECORD… OKAY OR PULL AS LOOKALIKE?"
TACO BRO,0,1,TACO=PUSSY
TAT2 M1,0,1,m1 is a semi automatic military rifle
TAY HOE,0,1,"Says ""HO"", has a Chevy UT. Could be a Tahoe."
TETIN 88,0,1,88=HATE SYMBOL. HAS A 1988 VEHICLE. BUT TETIN AND TETINE TRANSLATE AS 'TEAT' AND 'NIPPLE' IN FRENCH
TG 187,0,1,187=HOMICIDE
UCFKNTS,0,1,"is the name of a university in Florida, looks like fucking nuts"
UHEMI14,1,1,"14=HATE SYMBOL, HAS A 2014 DODGE THOUGH"
U TRIED,0,1,YOU TRIED; PULLED BECAUSE OF THE 'YOU'
UTRYNME,0,1,"DIFFERENT CUSTOMER, BUT PULLED BECAUSE OF THE 'YOU'"
XANAX4U,0,1,sounds like pills (xanax) for sale
YU LEWZ,0,1,YOU' LOSE
ZZXXXNA,0,1,XXX=PORN
1BOLD69,0,1,no 1969 car on ani
1SIKFOK,0,1,ONE SICK FUCK
1 UNCUT,0,1,SLANG FOR AN UNCIRCUMCISED PENIS
13KELLY,0,1,"13=gang number, no 2013 car"
13SMOKE,0,1,"13=GANG NUMBER, DOES HAVE A 2013 TRUCK"
28GSV88,0,1,"88=HATE SYMBOL, NO 88 CAR ON ANI. 28 IS BIRTHDATE AND 1988 IS YEAR"
3BUMBOY,1,1,"BUM=ASS, HER LAST NAME IS BUMBARGER"
4O BOMBA,0,1,BOMB
4Q OO7,0,1,FUCK YOU 007
5O GANG,0,1,"50 GANG, PULLED FOR 5 OH (POLICE) AND GANG, ANI SHOWS A 1987 2 DOOR FORD"
69 FCON1,1,1,no 1969 car on ani
88GSV28,0,1,"88=HATE SYMBOL, NO 88 CAR ON ANI…"
DUKEH8R,0,1,DUKE HATER
RYDOVRU,0,1,RIDE OVER YOU
TUONO 18,0,1,18=hate symbol
6UWISH9,0,1,"69, YOU WISH… no 1969 vehicle on ani"
DRUBLU,1,1,blue=gang color
MA $ FR,1,1,MOTHERFUCKER? HIS NAME IS FRANCESCO
MRS$  18,0,1,18=hate symbol
V+I  88,0,1,"88=HATE SYMBOL, NO 88 CAR ON ANI"
HTEGAS,1,1,HATE (this has a star in the middle of hate and gas but auto corrects hate to 'THE' whenever I put it in!)
FLX BLS,1,1,"FLEX BALLS? HE DOES HAVE A NEW FORD (FLEX) AND HE HAS ""PTBLS"" FOR A CHRY (PT CRUISER, MAYBE) AND ""XBLSS"" FOR A FORD. HE IS BOB, WIFE IS LUCY."
MSPOOH,0,1,POOP
PLTACO,0,1,"TACO=PUSSY, has an 08 Toyota"
NRA 4X4,1,1,NRA=NATIONAL RIFLE ASSOC
SNAFUD,0,1,SNAFU=SITUATION NORMAL-ALL FUCKED UP
ASI 14,0,1,"14=HATE SYMBOL, THIS IS FOR A COMPANY. THEY WERE DENIED 'ASI 13' IN 2009 BUT HAVE A FEW OTHER SIMILAR PLATES WITH OTHE NUMBERS"
BNG CHT,0,1,"bang, bong?"
GOGMCOX,0,1,"SOUTH CAROLINA FOOTBALL TEAM, PULLED FOR COCK"
MINI 13,0,1,NO 2013 CAR 13=GANG NUMBER
OGRMD,0,1,OG
RA DD 14,1,1,14=hate symbol but has a 2014 car
STL BLST,1,1,"STEEL BLAST? BOMB, GUN?"
U S BLUZ,1,1,pulled for blue (gang color) but it is a Grateful Dead song
YA DUTS,0,1,DUTS=SLANG FOR DICK+NUTS
1BA ECO,0,1,BA=BAD ASS
415CALI,0,1,"415, SAN FRANCISCO AREA CODE"
TNT BRD,0,1,"TNT=DYNAMITE, HER NAME IS TIFFANY ABELS. ANI SHOWS A BMW"
AFYK ME,0,1,LOOKS LIKE AYY FUCK ME
AZTEC413,0,1,13 GANG REFERENCE
BCH CITY,0,1,LOOKC LIKE BITCH CITH OR BEACH CITY
B TRICK,0,1,CUSTOMER LAS NAME BITRICH BUT PLATE LOOKS LIKE B TRICK
CARGZEM,0,1,CAR GASM AS IN ORGASM
CATS TNR,0,1,CAT
CDHY4LF,0,1,HIGH FOR LIFE
CRUZE 13,1,1,13 GANG REFERENCE
E SEX,0,1,ELECTRONIC SEX
FIK DICH,0,1,MEANS FUCK YOU
G ROUPE 4,0,1,G AS IN GANGSTER OR LOOKS LIKE GROUPIE
MSTDOPE,0,1,DOPE
MVNKEYS,1,1,LOOKS LIKE MOVING KEYS
OG DOSA,0,1,OG AS ORIGINAL GANGSTER
REDBARE,0,1,RED
RED RBN,1,1,RED
RICE AF,0,1,RICE AS FUCK
SCLPIN,0,1,SCALPIN
SMKEYJO,1,1,SMOKE
THATCAT,1,1,CAT
TJ RED,1,1,RED
TNR CATS,0,1,CATS
TRIK PLZ,0,1,TRICK PLEASE
TUCKN8S,1,1,CAN NOT TRANSLATE
TU JEFA,0,1,JEFE
UFMEIFU,0,1,YOU FUCK ME I FUCK YOU
VOT AK 79,0,1,AK AS IN GUN
YR14 Z28,0,1,14 GANG REFERENCE
13BOGIE,0,1,13 GANG REFERENCE
44O TUNA,0,1,TUNA
59 BSTRD,0,1,BASTARD
6EZA13X,0,1,13 GANG REFERENCE
UWATM8,0,1,LOOKS LIKE YOU WANT TO MATE
LEXXI$G,0,1,G AS IN GANGSTER
$MYBBTY,0,1,LOOKS LIKE LOVE MY BOOTY
$RAN RED,1,1,RED
BULY BUS,0,1,BULLY
CRSCORT,1,1,SEE ARE ESCORT
EF1 FAN,0,1,F1 FAN OR FUCK 1 FAN
KLR4EVER,0,1,KILLER
BLU WAV,1,1,BLU
AJNDRVR,0,1,LOOKS LIKE ASIAN DRIVER
ALICE 14,0,1,14 GANG REFERENCE
AMPA 13,0,1,13 GANG REFERENCE
A5O7N2,0,1,IS THIS A LOOK A LIKE TO SEQUENTIAL LEGACY?
BBY G,0,1,BABY GANGSTER
DBSBTCH,0,1,BITCH
DONKYY,0,1,ASS
FCK GED,0,1,FUCK
FULL CLP,0,1,FULL CLIP AS IN GUN
FUN BAGZ,0,1,AS IN BREAST
FUNBUNS,0,1,AS IN BUTT
G SUPER,0,1,G AS IN GANGSTER
HELAPNO,1,1,HELLA
HOTLICK,0,1,HOT LICK SEXUAL REFERENCE
ILYKBLU,1,1,I LIKE BLUE
INT13H,0,1,13 GANG REFERENCE
JA3P2A7,0,1,CAN NOT TRANSLATE
JENL 13,0,1,13 GANG REFERENCE
KRAZY 89,1,1,CRAZY
KRAZZY 1,1,1,CRAZY ONE
LAA RED,0,1,RED
MAIEY 18,0,1,18 HITLER REFERENCE
MCHE BMB,0,1,BOMB
MDL 3SOM,0,1,THREESOME SEXUAL REFERENCE
MESA909,0,1,909 AREA CODE
MUERTO I,0,1,DEAD EYE
NOTGASI,1,1,GASSY
NT GASI,1,1,GASSY
NUMBNTZ,0,1,NUMB NUTTS
OGPTOWN,0,1,OG AS IN ORIGINAL GANGSTER
PTANG 29,0,1,POOTY TANG
SO7O7GS,0,1,7O7 AREA CODE
STLRS88,0,1,88 HITLER REFERENCE
1PAPA88,0,1,88 HITLER REFERENCE
6 4 SCAT,0,1,SCAT MEANS ANIMAL POOP
8BIJAN8,0,1,88 HITLER REFERENCE
911 85,1,1,911 EMERGENCY
HYDROMX,0,1,HYDRO ANOTHER WORD FOR WEED
NGA$CTA,0,1,NGA LOOKS LIKE NIGGA
TAM $13,0,1,13  GANG REFERENCE
BLWTR18,1,1,18 HITLER REFERENCE(CUSTOMER HAS BLWTR WITH OTHER SEQUENCE NUMBERS)
FYTCLUB,0,1,FIGHT CLUB
H8RZ ENV,0,1,HATERS ENVY
JC 626,0,1,626 AREA CODE
SEXY 83,1,1,SEXY
SO NASTY,0,1,NASTY
THE OGGG,0,1,OG TRIPLE OG AS IN GANGSTER
LA WET,0,1,WET
NUSDIST,1,1,NUDIST
OG RIDER,0,1,OG ORIGINAL GANGSTER
BEEJAY,0,1,BJ AS IN BLOW JOB
AJ RZN14,0,1,14-HITLER
BADAZ52,0,1,BADASS
BB6 13,0,1,13-GANG
B88B8BD,0,1,88-HITLER
CERDA 14,0,1,14-HITLER
COLT357,0,1,GUN
COLT 911,0,1,GUN
DROPN E,0,1,TAKING ECSTASY
DUFF 13,0,1,13-GANG
FKN9RFN,0,1,FUCKIN 9ER FAN
FRESH88,0,1,88-HITLER
FUCK EM,0,1,FUCK THEM
FUKNMPG,0,1,FUCKIN MP
FYEA VWS,0,1,FUCK YEA VOLKSWAGON
F18,0,1,18-HITLER
GNG8181,0,1,GANG
GWA88,0,1,88-HITLER
HELLA5O,1,1,HELLA/ 50
H ELYEHA,1,1,HELL YEA
HNDGUNR,0,1,HAND GUNNER
IRON 69,0,1,COULDN'T VERIFY 1969 VEHICLE
LOL5OHH,0,1,50
LTSBRN1,0,1,LETS BURN ONE…. JOINT
MAMBA13,0,1,13-GANG
MXC13,0,1,13-GANG
MFICU2B,0,1,MOTHER FUCKER I SEE YOU TOO BITCH
NANO9MM,0,1,GUN
NICAPLZ,0,1,NICA/NIGGA PLEASE
NOFGIVN,0,1,NO FUCKS GIVEN
O6TL51O,0,1,CA AREA CODE
PSYETR1,0,1,PUSSY EATER 1
PSYPHER,0,1,PUSSIFER…LUCIFER
SAMMY14,0,1,14-HITLER
SMOKE OG,0,1,OG
SPORT 88,1,1,88-HITLER
STLRZ88,0,1,88-HITLER
TR8R H8R,0,1,TRAITOR HATER
VIVAS18,0,1,18-HITLER
WHYUH84,0,1,WHY DO YOU HATE FOR
1 FRSH G,0,1,G
13ACCRD,0,1,13-GANG. COULDN'T VERIFY 2013
14ON41,0,1,14-HITLER
14 ROCKY,1,1,14-HITLER
3RDNUT,0,1,THIRD CRAZY…. THIRD EJACULATION
415JOKR,0,1,CA AREA CODE
415RSNS,0,1,CA AREA CODE
6PAPA88,0,1,88-HITLER
62N 4O8,0,1,CA AREA CODE
66T HMOB,0,1,MOB
7JXC88K,0,1,88-HITLER
88MAXO1,0,1,88-HITLER
9O9KING,0,1,CA AREA CODE
OGDOAD$,0,1,OG
$OURCHP,0,1,CHP
7OHSSV,0,1,ASSHOL (BACKWARDS)
CEXDRIV,0,1,SEX DRIVE
CZNTACO,0,1,TACO
FKURCRW,0,1,FUCK YOUR CREW
NOKKIEZ,0,1,NOOKIE….SEX
ORIGNL G,0,1,G
PB7 AK47,0,1,GUN
1UBER DK,0,1,ONE UBER DICK
SJMC 14,0,1,14-HITLER
CHAHTA V,0,1,"""WANTED"" IN HINDI. WANTED V"
IZZY 13,0,1,13-GANG
KK13KSS,0,1,13-GANG
TSRA 13,0,1,13-GANG
ANGEL13,0,1,13-GANG
BEAN 213,0,1,CA AREA CODE
CHECH13,0,1,13-GANG
C4 I DO,0,1,C4 BOMB
HOLYHEL,0,1,HOLY HELL
INERT 13,0,1,13-GANG
JIJA13,0,1,13-GANG
LION818,0,1,CA AREA CODE
MANIGA2,0,1,MA/MY NIGGA.. LAST NAME IS HALL
WTFUWNT,0,1,WHAT THE FUCK YOU WANT
2WON3,0,1,213 CA AREA CODE
619 LMOB,0,1,CA AREA CODE
8O5ROVR,0,1,CA AREA CODE
818 CODE,0,1,CA AREA CODE
88FLTWD,0,1,88-HITLER
LABEL88,0,1,88-HITLER
H8TR AID,0,1,HATER
TAPNRAM,0,1,LAST NAME TAPERT. COULDN'T VERIFY RAM VEHICLE
22 36 G,0,1,G. LAST NAME IS GRIFFITH
9LIG88,0,1,88-HITLER
CH18LEY,0,1,18-HITLER
AKONI88,0,1,88-HITLER
BIGRNUT,0,1,EJACULATION
BOMB TC,0,1,BOMB
CAPT OG,0,1,OG
CCAM 213,0,1,CA AREA CODE
CYN14,0,1,14-HITLER
ECCL3 13,0,1,13-GANG
FAST B,0,1,FAST BITCH
JBDBZ13,0,1,13-GANG
KLLR Z28,0,1,KILLER
LUV2FYB,0,1,FUCK YOUR BITCH
MINI AF,0,1,AS FUCK
N5O4LA,0,1,CA AREA CODE
USPS714,0,1,CA AREA CODE
YEEY831,0,1,CA AREA CODE
Z MOTA,0,1,MOTA IS CUSTOMERS LAST NAME. WEED IN SPANISH
14BAMBI,0,1,14-HITLER
14FTYPE,1,1,14-HITLER
5ES 323,0,1,CA AREA CODE
831YEEY,0,1,CA AREA CODE
TAREK13,0,1,13-GANG
8H8PEPL,0,1,HATE
EVOX WTF,0,1,WHAT THE FUCK
SHTR FL,0,1,SHITTER FULL
4GTHANG,0,1,G
GUNNAR,0,1,GUNNER
COLT LQ,0,1,COLT…. GUN
DANDY 13,0,1,13-GANG
DOST 88,0,1,88-HITLER
DROPN U,0,1,KNOCK SOMEONE OUT.
DUSHI 1,0,1,DOUCHIE ONE
EF TRUMP,0,1,FUCK TRUMP
ELEFYNO,1,1,HELL IF I KNOW
EVOIX88,0,1,88-HITLER
FL2CA88,0,1,88-HITLER
FTW GT,0,1,FTW
GOATNUT,0,1,GREATEST OF ALL TIME NUT
GT FTW,0,1,FTW
HOT MUFN,0,1,MUFF/MUFFIN- VAGINA
JATT4O8,0,1,CA AREA CODE
JDIHNTR,1,1,JEDI HUNTER
LOPEZL G,0,1,G
MARS619,0,1,CA AREA CODE
NWA IE,0,1,NWA
NYC FD,1,1,NYC FIRE DEPT
N2OYF14,0,1,14-HITLER
PSS AUF,0,1,PISS OFF
TAJ 1313,0,1,13-GANG
THC 1138,0,1,THC
TULIP14,0,1,14-HITLER
V88V88V,0,1,88-HITLER
13 LEAPS,0,1,13-GANG
2 DUSHI,0,1,TOO DOUCHIE
88FIVEO,1,1,88-HITLER
COMPA 13,0,1,13-GANG
C42OB,0,1,420
DANK HOG,0,1,DANK.. THE SMELL OF WEED
ROGUE13,0,1,13-GANG
46 AF,0,1,AS FUCK. CUSTOMERS INITIALS
BA G LYF,0,1,BAG LIFE… OR BADASS G LIFE
JADJ 628,0,1,CA AREA CODE
88HHH88,0,1,88-HITLER
8O5FAST,0,1,CA AREA CODE
AK MUSIC,0,1,AK AS IN GUN
AO6O766,0,1,LOOKS LIKE AN OLD TIN
BRITT 14,0,1,14 GANG REFERENCE
BURRO41,0,1,DONKEY
BUSTNDK,0,1,BUSTIN DICK
B 18 CT,0,1,18 HITLER REFERENCE
B85447O,0,1,LOOKS LIKE A OLD TIN
CH911EF,0,1,911 EMERGENCY
DGO N1,0,1,DAYGO
DO7D13S,1,1,13 GANG REFRENCE
G EYES,0,1,G AS IN GANGSTER
GOODPIG,0,1,GOOD PIG.. TAUNTING COPS LIKE GOOD BOY
G ROLL,0,1,G AS IN GANGSTER
HOOKAHH,0,1,HOOKAH
HYPNO D,0,1,"HYPNOTIQ D , COULD BE A SEXUAL REFERENCE OR REFERE TO CUSTOMER FIRST INITIAL"
INOYUH8,0,1,I KNOW YOU HATE
JEFES 47,0,1,JEFE SPANISH WORD FOR BOSS
LABLU C4,0,1,BLUE
LT14FUN,1,1,14 GANG REFERENCE
MKC 13,0,1,13 GANG REFERENCE
NAPY,0,1,NAPPY COULD BE A TERM OF PRIDE OR DEROGATORY
NHEL 88,0,1,88 HITLER REFERENCE
NOBDYMV,0,1,NOBODY MOVE TERM USED DURING A STICK UP OR CRISIS
OG TOY,0,1,OG ORIGINAL GANGSTER
Q HLLZNO,1,1,OH HELLS NO
OKIES,0,1,A DEROGATORY TERM USE FOR FARMLAND PEOPLE
OMW2FRN,0,1,ON MY TO FUCK …
PEWPEW2,0,1,GUN SOUNG
PORKER,0,1,A TERM USED FOR OVERWEIGHT PEOPLE
RYDMY SS,0,1,LOOKS LIKE RIDE MY ASS
SAVGE AF,0,1,SAVAGE AS FUCK
SKYHY,0,1,SKY HIGH VERY HIGH
T3O8165,0,1,LOOKS LIKE A TIN NUMBER
UKIS MY6,0,1,LOOKS LIKE YOU KISS MY ASS
XXXI888,0,1,XXX SEXUAL REFERENCE
ZR1 KLLR,0,1,KILLER
1C1H9P9,0,1,CHP
1NW2WO,0,1,LOOKS LIKE AN OLD OFF HIGHWAY
1OERGY9,0,1,LOOKS LIKE ORGY
1416A14,0,1,14 GANG REFERENCE
$GOGI13,0,1,13 GANG REFERENCE
13B2P,0,1,13 GANG REFERENCE
AHH RED,1,1,RED
BLEUFLY,1,1,BLUE
DICK OUT,0,1,DICK
FTL SPD,0,1,FATAL SPEED
GUN FU,0,1,GUN
MRDRTWN,0,1,MURDER TOWN
SUHBIHH,0,1,SUP BITCH
WARCAT,1,1,WAR CAT
ARIAS13,0,1,13-GANG
BELLA88,0,1,88-HITLER
BR8KNEX,0,1,BREAK NECKS
BTPLUGN,0,1,BUTT PLUGGIN
COPNOPE,0,1,COP
C7R 31O,0,1,CA AREA CODE
DBA RED,0,1,DOING BUSINESS AS RED
DIK2BIG,0,1,DICK TOO BIG
DMNDANL,0,1,DAMN DANIEL
FOZWR88,0,1,88-HITLER
GUN NUT2,0,1,GUN
I DOIT69,0,1,COULDN’T VERIFY 1969
IM HIGH,0,1,HIGH
I M LIT,0,1,LIT/HIGH
MADCHPS,0,1,CHP
NERDY AF,0,1,AS FUCK
